stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8754522,"EPINAY SUR ORGE",,48.66965278,2.33200139,,,1,
StopArea:DUA8754523,"SAVIGNY SUR ORGE",,48.67624039,2.35120547,,,1,
StopArea:DUA8739317,"CHAVILLE VELIZY",,48.79972551,2.18366726,,,1,
StopArea:DUA8739316,"PORCHEFONTAINE",,48.79733078,2.15328535,,,1,
StopArea:DUA8739315,"VERSAILLES RIVE GAUCHE CHATEAU DE VERSAILLES",,48.80048006,2.12823745,,,1,
StopArea:DUA8768182,"VILLENEUVE SAINT-GEORGES",,48.72973039,2.44683915,,,1,
StopArea:DUA8768180,"VILLENEUVE TRIAGE",,48.74557245,2.438042,,,1,
StopArea:DUA8768185,"VILLENEUVE PRAIRIE",,48.76471696,2.43342364,,,1,
StopArea:DUA8768124,"LE VERT DE MAISONS",,48.78961787,2.43361891,,,1,
StopArea:DUA8768115,"MAISONS ALFORT ALFORTVILLE",,48.80116636,2.42736369,,,1,
StopArea:DUA8768141,"MENNECY",,48.57076189,2.4331386,,,1,
StopArea:DUA8768143,"BALLANCOURT",,48.53200934,2.37125121,,,1,
StopArea:DUA8768145,"LA FERTE ALAIS",,48.48458849,2.35091188,,,1,
StopArea:DUA8768147,"BOUTIGNY SUR ESSONNE",,48.43503217,2.37745929,,,1,
StopArea:DUA8768148,"MAISSE",,48.39285811,2.39353256,,,1,
StopArea:DUA8768151,"BUNO GIRONVILLE",,48.37047426,2.38734309,,,1,
StopArea:DUA8768440,"BOIGNEVILLE",,48.34259155,2.37860283,,,1,
StopArea:DUA8768441,"MALESHERBES",,48.29673336,2.39876625,,,1,
StopArea:DUA8768254,"SAINT-FARGEAU",,48.56456764,2.54254014,,,1,
StopArea:DUA8768252,"PONTHIERRY PRINGY",,48.53497077,2.5443813,,,1,
StopArea:DUA8768251,"BOISSISE LE ROI",,48.52938343,2.57241214,,,1,
StopArea:DUA8768250,"VOSVES",,48.51515179,2.5992891,,,1,
StopArea:DUA8768131,"VIRY CHATILLON",,48.67602098,2.38577447,,,1,
StopArea:DUA8768130,"VIGNEUX SUR SEINE",,48.70833541,2.4151023,,,1,
StopArea:DUA8727617,"SAINT-GRATIEN",,48.96355472,2.28498555,,,1,
StopArea:DUA8727114,"EPINAY SUR SEINE",,48.95432307,2.30164448,,,1,
StopArea:DUA8727120,"GENNEVILLIERS",,48.9332545,2.30753419,,,1,
StopArea:DUA8727214,"LES GRESILLONS",,48.92041265,2.31452334,,,1,
StopArea:DUA8727124,"SAINT-OUEN",,48.90548774,2.32274335,,,1,
StopArea:DUA8711127,"Porte de Clichy",,48.89470333,2.31288377,,,1,
StopArea:DUA8738102,"NEUILLY PORTE MAILLOT - Palais des Congrès",,48.87786336,2.28287071,,,1,
StopArea:DUA8754702,"PARIS AUSTERLITZ",,48.84367995,2.36454358,,,1,
StopArea:DUA8778543,"SAINT-MICHEL NOTRE DAME",,48.8535868,2.34499575,,,1,
StopArea:DUA8754730,"MUSEE D'ORSAY",,48.86095807,2.32489682,,,1,
StopArea:DUA8739303,"Invalides",,48.86174358,2.31422562,,,1,
StopArea:DUA8775860,"CHATELET LES HALLES",,48.85793938,2.34870608,,,1,
StopArea:DUA8775861,"LUXEMBOURG",,48.84674304,2.34033974,,,1,
StopArea:DUA8775862,"PORT ROYAL",,48.84002805,2.33660627,,,1,
StopArea:DUA8775863,"Denfert Rochereau",,48.83417724,2.33257158,,,1,
StopArea:DUA8775864,"Cité Universitaire",,48.82065416,2.33934609,,,1,
StopArea:DUA8775866,"LAPLACE",,48.80848607,2.3338052,,,1,
StopArea:DUA8775867,"ARCUEIL CACHAN",,48.79841477,2.32784687,,,1,
StopArea:DUA8775868,"BAGNEUX",,48.79320077,2.3215704,,,1,
StopArea:DUA8775869,"BOURG LA REINE",,48.77987696,2.31296793,,,1,
StopArea:DUA8775874,"LA CROIX DE BERNY",,48.76248015,2.30423371,,,1,
StopArea:DUA8775875,"ANTONY",,48.75491135,2.30108554,,,1,
StopArea:DUA8739357,"MASSY PALAISEAU",,48.7246293,2.25823867,,,1,
StopArea:DUA8775880,"PALAISEAU",,48.71764112,2.24814994,,,1,
StopArea:DUA8775881,"PALAISEAU VILLEBON",,48.70715033,2.23801283,,,1,
StopArea:DUA8775882,"LOZERE",,48.70588742,2.21210498,,,1,
StopArea:DUA8775883,"LE GUICHET",,48.70593005,2.19140159,,,1,
StopArea:DUA8775884,"ORSAY VILLE",,48.69787249,2.18228789,,,1,
StopArea:DUA8700147,"AEROPORT CHARLES DE GAULLE  2 TGV",,49.00384442,2.5671593,,,1,
StopArea:DUA8732832,"BIBLIOTHEQUE F.MITTERRAND",,48.84482533,2.36094808,,,1,
StopArea:DUA8739304,"PONT DE L'ALMA",,48.86235449,2.3019521,,,1,
StopArea:DUA8739305,"CHAMP DE MARS TOUR EIFFEL",,48.85604661,2.29373661,,,1,
StopArea:DUA8739306,"JAVEL",,48.84618892,2.27674301,,,1,
StopArea:DUA8739332,"PONT DU GARIGLIANO - Hôpital Européen Georges Pompidou",,48.83908654,2.27044039,,,1,
StopArea:DUA8739308,"MEUDON VAL FLEURY",,48.8079254,2.24101636,,,1,
StopArea:DUA8739307,"ISSY",,48.8199635,2.25898174,,,1,
StopArea:DUA8739330,"ISSY VAL DE SEINE",,48.82939842,2.26361721,,,1,
StopArea:DUA8754528,"CHOISY LE ROI",,48.76506648,2.41013214,,,1,
StopArea:DUA8754545,"LA NORVILLE SAINT-GERMAIN LES ARPAJON",,48.59145844,2.26692187,,,1,
StopArea:DUA8754546,"ARPAJON",,48.58612107,2.24174915,,,1,
StopArea:DUA8754547,"EGLY",,48.58228957,2.22205663,,,1,
StopArea:DUA8754548,"BREUILLET BRUYERES LE CHATEL",,48.57717192,2.19222987,,,1,
StopArea:DUA8754549,"BREUILLET VILLAGE",,48.5648154,2.17175405,,,1,
